category_truth,text
Scheduling & Caseload,"Hey, I ran into an issue and wanted to raise it. I'd like to formally request a reduction in weekly session load — I'm at capacity and it's starting to affect quality of care."
Compensation & Payroll,"Hi there, reaching out about the following. the platform shows I completed 24 sessions this pay period but I was only paid for 19. Can someone reconcile this? Thanks in advance for looking into this."
Scheduling & Caseload,"Hi, quick one for you — I have back-to-back sessions with zero buffer for the rest of this week and it's affecting my ability to write notes properly. Please let me know next steps."
HR / Interpersonal,"Hey, wanted to flag something. there's ongoing tension between me and another practitioner who's assigned to overlapping clients in the same circle. This is fairly time-sensitive, so any help is appreciated."
HR / Interpersonal,"Hello, I need some help with a situation. there's been some friction in my team's group chat that I think needs a manager to step in on. Please let me know next steps."
Compensation & Payroll,"Hi team, hoping someone can help. I was told I'd get the caseload bonus this quarter but it's not reflected in my latest pay statement. Please let me know next steps."
HR / Interpersonal,"Hey, wanted to flag something. I'd like to report a comment made by a colleague that made me uncomfortable during a shared client handoff call. Appreciate any help you can give here."
Platform / Technical,"Hey, I ran into an issue and wanted to raise it. the video call tool crashed twice during my session with [CLIENT ID] today and we lost about 15 minutes trying to reconnect. Appreciate any help you can give here."
Client Safety / Escalation,"Hey, I ran into an issue and wanted to raise it. a client I'm seeing, [CLIENT ID], made a statement in today's session that sounded like passive suicidal ideation. I've documented it but need a clinical supervisor to review before our next session. Please let me know next steps."
Scheduling & Caseload,"Hi, sorry to bug you, but I need guidance on this. I'm currently carrying more clients than my contract specifies and I need help redistributing a few before I hit burnout. Thanks in advance for looking into this."
General / Other,"Hey, wanted to flag something. wanted to pass along some positive feedback about the new circle-matching process, for whatever team should see it. Let me know if you need anything else from me."
Compensation & Payroll,"Hi team, hoping someone can help. I submitted a reimbursement request for materials I bought for a group workshop three weeks ago and it still hasn't been processed. This is fairly time-sensitive, so any help is appreciated."
Client Safety / Escalation,"Hey, I ran into an issue and wanted to raise it. I'm worried about a client's safety after their partner showed up unannounced during our video session. I want to flag this before it happens again. This is fairly time-sensitive, so any help is appreciated."
Platform / Technical,"Hi, quick one for you — the video call tool crashed twice during my session with [CLIENT ID] today and we lost about 15 minutes trying to reconnect. Appreciate any help you can give here."
Platform / Technical,"Hi, quick one for you — I logged in this morning and the dashboard is showing someone else's client list instead of mine. Let me know if you need anything else from me."
Credentialing & Compliance,"Hey, I ran into an issue and wanted to raise it. my supervision hours aren't tallying correctly in the system — it's showing fewer hours than what I've actually logged. This is fairly time-sensitive, so any help is appreciated."
HR / Interpersonal,"Hi, could someone take a look at this? I disagree with the feedback I received in my last review and would like to discuss it with someone in HR. Please let me know next steps."
Platform / Technical,"Hey, I ran into an issue and wanted to raise it. the audio kept cutting out during today's session and I couldn't tell if it was on my end or the platform's. Appreciate any help you can give here."
HR / Interpersonal,"Hi there, reaching out about the following. I felt excluded from a decision that affected my caseload and want to understand how those calls get made. Happy to hop on a call if that's easier."
Platform / Technical,"Hi, quick one for you — the audio kept cutting out during today's session and I couldn't tell if it was on my end or the platform's."
Compensation & Payroll,"Hi team, hoping someone can help. my supervision-hours stipend wasn't included in this month's payout even though I logged the hours in the system. This is fairly time-sensitive, so any help is appreciated."
Compensation & Payroll,"Hi there, reaching out about the following. my supervision-hours stipend wasn't included in this month's payout even though I logged the hours in the system. Appreciate any help you can give here."
Scheduling & Caseload,"Hi, quick one for you — I have back-to-back sessions with zero buffer for the rest of this week and it's affecting my ability to write notes properly."
Compensation & Payroll,"Hi, quick one for you — my 1099 for last year has the wrong total on it — it doesn't match the sessions I logged. Who do I talk to about a correction?"
General / Other,"Hi, sorry to bug you, but I need guidance on this. I have an administrative question about how my practitioner profile bio gets updated on the client-facing site. Let me know if you need anything else from me."
Credentialing & Compliance,"Hi there, reaching out about the following. my background check renewal notice says it's due, but I haven't received instructions on how to complete it. Please let me know next steps."
Scheduling & Caseload,"Hi team, hoping someone can help. my calendar synced incorrectly and I ended up double-booked for two client sessions at the same time this afternoon. Please let me know next steps."
Compensation & Payroll,"Hi, sorry to bug you, but I need guidance on this. I haven't received any payment confirmation for [PROGRAM] this month and I'm not sure if it's a processing delay or something else. Please let me know next steps."
Platform / Technical,"Hi, could someone take a look at this? screen sharing isn't working during my [PROGRAM] circle calls — none of the members can see what I'm presenting. Appreciate any help you can give here."
Compensation & Payroll,"Hi, sorry to bug you, but I need guidance on this. my 1099 for last year has the wrong total on it — it doesn't match the sessions I logged. Who do I talk to about a correction? Let me know if you need anything else from me."
Platform / Technical,"Hi there, reaching out about the following. screen sharing isn't working during my [PROGRAM] circle calls — none of the members can see what I'm presenting."
Training & Resources,"Hi, quick one for you — I'm unclear on how to handle group facilitation versus individual coaching sessions — is there a guide for this? Thanks in advance for looking into this."
Client Safety / Escalation,"Hey, wanted to flag something. a client I'm seeing, [CLIENT ID], made a statement in today's session that sounded like passive suicidal ideation. I've documented it but need a clinical supervisor to review before our next session. Appreciate any help you can give here."
Scheduling & Caseload,"Hi, sorry to bug you, but I need guidance on this. a client tried to reschedule through the portal but it wouldn't let them pick a new time — can someone look into why? Appreciate any help you can give here."
General / Other,"Hey, wanted to flag something. I wasn't sure which queue this belongs to, but I wanted to share some feedback on the new client intake flow."
HR / Interpersonal,"Hi there, reaching out about the following. I feel like scheduling preferences have been handled unevenly across the team and wanted to flag it. Appreciate any help you can give here."
Training & Resources,"Hi, quick one for you — is there a refresher training available on the new confidentiality policy that went out last month? Appreciate any help you can give here."
Compensation & Payroll,"Hi, could someone take a look at this? I switched from part-time to full-time status last month, but my pay still looks like it's calculated at the old rate. Please let me know next steps."
Scheduling & Caseload,"Hey, I ran into an issue and wanted to raise it. the system auto-assigned me a new client outside my specialty area — can this be reassigned to someone better suited? Please let me know next steps."
Training & Resources,"Hey, I ran into an issue and wanted to raise it. I'm unclear on how to handle group facilitation versus individual coaching sessions — is there a guide for this?"
Scheduling & Caseload,"Hello, I need some help with a situation. my caseload dashboard is showing a client twice under two different circle groups and it's throwing off my weekly hours count. Appreciate any help you can give here."
General / Other,"Hey, wanted to flag something. just checking in with a general question about company-wide policy on client gift acceptance. Thanks in advance for looking into this."
Training & Resources,"Hi, sorry to bug you, but I need guidance on this. I'm unclear on how to handle group facilitation versus individual coaching sessions — is there a guide for this? Please let me know next steps."
Scheduling & Caseload,"Hey, I ran into an issue and wanted to raise it. I need to swap two client slots this week due to a personal scheduling conflict, but the portal doesn't have a self-serve option for that."
HR / Interpersonal,"Hi, quick one for you — I'd like to report a comment made by a colleague that made me uncomfortable during a shared client handoff call."
HR / Interpersonal,"Hey, I ran into an issue and wanted to raise it. I feel like scheduling preferences have been handled unevenly across the team and wanted to flag it. Let me know if you need anything else from me."
Credentialing & Compliance,"Hi, quick one for you — can someone confirm the required cadence for clinical supervision check-ins under my current credential level?"
Platform / Technical,"Hi team, hoping someone can help. two-factor authentication isn't sending me a code, so I've been locked out of my dashboard since this morning. This is fairly time-sensitive, so any help is appreciated."
General / Other,"Hello, I need some help with a situation. not urgent, but I wanted to ask a general question about how holiday coverage works across the team. Happy to hop on a call if that's easier."
Credentialing & Compliance,"Hi, quick one for you — I need to submit my updated license renewal documentation but I'm not sure which portal section that goes in."
Training & Resources,"Hi there, reaching out about the following. the onboarding materials I was given are missing the section on circle-facilitation protocols — can I get the updated version? This is fairly time-sensitive, so any help is appreciated."
Platform / Technical,"Hey, I ran into an issue and wanted to raise it. screen sharing isn't working during my [PROGRAM] circle calls — none of the members can see what I'm presenting."
Platform / Technical,"Hi there, reaching out about the following. I can't upload my updated intake form template — the file keeps failing to attach in the resources section."
Scheduling & Caseload,"Hi, could someone take a look at this? my caseload dashboard is showing a client twice under two different circle groups and it's throwing off my weekly hours count."
Client Safety / Escalation,"Hey, I ran into an issue and wanted to raise it. a tribe member reported that another circle member has been sending them uncomfortable messages outside of the scheduled calls. This feels like it needs immediate review, not routine follow-up. Happy to hop on a call if that's easier."
Scheduling & Caseload,"Hey, I ran into an issue and wanted to raise it. there's a time zone mismatch on the calendar for one of my remote clients and they missed our session because of it. Appreciate any help you can give here."
General / Other,"Hi, could someone take a look at this? just a general suggestion — it'd be great if the dashboard showed upcoming renewal dates more clearly. Let me know if you need anything else from me."
Compensation & Payroll,"Hi, quick one for you — my direct deposit didn't go through this cycle and I haven't gotten any notice about why. Can someone check what happened? Happy to hop on a call if that's easier."
Credentialing & Compliance,"Hey, wanted to flag something. I have an ethics question about seeing two clients who know each other personally — want guidance before proceeding. Let me know if you need anything else from me."
Platform / Technical,"Hi team, hoping someone can help. I can't get my session notes to save — I've tried three times and the page just spins and then times out. Thanks in advance for looking into this."
Platform / Technical,"Hi, quick one for you — two-factor authentication isn't sending me a code, so I've been locked out of my dashboard since this morning. This is fairly time-sensitive, so any help is appreciated."
Platform / Technical,"Hey, wanted to flag something. the audio kept cutting out during today's session and I couldn't tell if it was on my end or the platform's."
Compensation & Payroll,"Hi, sorry to bug you, but I need guidance on this. I switched from part-time to full-time status last month, but my pay still looks like it's calculated at the old rate."
Credentialing & Compliance,"Hi team, hoping someone can help. I have a client relocating to a state I'm not licensed in — what's our policy for continuing care across state lines? Happy to hop on a call if that's easier."
Credentialing & Compliance,"Hi there, reaching out about the following. my supervision hours aren't tallying correctly in the system — it's showing fewer hours than what I've actually logged. Please let me know next steps."
General / Other,"Hi, quick one for you — I'm not sure who owns this, but I wanted to suggest an addition to the practitioner resource library. Appreciate any help you can give here."
Platform / Technical,"Hello, I need some help with a situation. I'm not receiving session reminder notifications anymore, and I've already missed logging in on time twice this week because of it."
Scheduling & Caseload,"Hi there, reaching out about the following. I'd like to formally request a reduction in weekly session load — I'm at capacity and it's starting to affect quality of care. Happy to hop on a call if that's easier."
Scheduling & Caseload,"Hey, wanted to flag something. I need coverage for [CLIENT ID]'s sessions next week since I'll be out on planned leave starting Monday. Please let me know next steps."
Scheduling & Caseload,"Hi there, reaching out about the following. I'd like to formally request a reduction in weekly session load — I'm at capacity and it's starting to affect quality of care."
Compensation & Payroll,"Hi team, hoping someone can help. I noticed a payroll deduction on my statement I don't recognize — can someone explain what this is for? Please let me know next steps."
Platform / Technical,"Hi, sorry to bug you, but I need guidance on this. I logged in this morning and the dashboard is showing someone else's client list instead of mine. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hi team, hoping someone can help. my [PROGRAM] circle call got scheduled during a national holiday and half the group can't make it. Can we get it moved? Let me know if you need anything else from me."
Scheduling & Caseload,"Hey, wanted to flag something. I'm currently carrying more clients than my contract specifies and I need help redistributing a few before I hit burnout. Please let me know next steps."
General / Other,"Hi, quick one for you — I have an administrative question about how my practitioner profile bio gets updated on the client-facing site. Let me know if you need anything else from me."
Platform / Technical,"Hey, wanted to flag something. I'm not receiving session reminder notifications anymore, and I've already missed logging in on time twice this week because of it. Appreciate any help you can give here."
Scheduling & Caseload,"Hi team, hoping someone can help. there's a time zone mismatch on the calendar for one of my remote clients and they missed our session because of it. Happy to hop on a call if that's easier."
Compensation & Payroll,"Hi, could someone take a look at this? I switched from part-time to full-time status last month, but my pay still looks like it's calculated at the old rate. This is fairly time-sensitive, so any help is appreciated."
General / Other,"Hi team, hoping someone can help. I wasn't sure which queue this belongs to, but I wanted to share some feedback on the new client intake flow. This is fairly time-sensitive, so any help is appreciated."
Training & Resources,"Hello, I need some help with a situation. I'd like more guidance on best practices for handling conflict between two circle members during a group call. Thanks in advance for looking into this."
Platform / Technical,"Hello, I need some help with a situation. the platform logged me out mid-session and I had to scramble to get back in while my client waited. Let me know if you need anything else from me."
Compensation & Payroll,"Hello, I need some help with a situation. my 1099 for last year has the wrong total on it — it doesn't match the sessions I logged. Who do I talk to about a correction? Appreciate any help you can give here."
Scheduling & Caseload,"Hi team, hoping someone can help. there's a time zone mismatch on the calendar for one of my remote clients and they missed our session because of it. Appreciate any help you can give here."
Compensation & Payroll,"Hi there, reaching out about the following. I noticed a payroll deduction on my statement I don't recognize — can someone explain what this is for? Thanks in advance for looking into this."
Scheduling & Caseload,"Hey, I ran into an issue and wanted to raise it. a client tried to reschedule through the portal but it wouldn't let them pick a new time — can someone look into why? This is fairly time-sensitive, so any help is appreciated."
Platform / Technical,"Hi, quick one for you — the video call tool crashed twice during my session with [CLIENT ID] today and we lost about 15 minutes trying to reconnect. Let me know if you need anything else from me."
Client Safety / Escalation,"Hi team, hoping someone can help. during today's intake, a new client described a level of risk that's above what I'm credentialed to handle solo. I need this escalated to a supervising clinician today. Please let me know next steps."
Platform / Technical,"Hi, sorry to bug you, but I need guidance on this. the mobile app keeps crashing whenever I try to open a client's file from my phone. Appreciate any help you can give here."
Platform / Technical,"Hi, could someone take a look at this? the client-facing app is displaying my old profile photo and outdated availability even though I updated both weeks ago. Please let me know next steps."
HR / Interpersonal,"Hi there, reaching out about the following. I want to understand the process for filing a formal concern about how a teammate handled a shared client situation. Happy to hop on a call if that's easier."
Scheduling & Caseload,"Hi there, reaching out about the following. my calendar synced incorrectly and I ended up double-booked for two client sessions at the same time this afternoon."
Scheduling & Caseload,"Hi, quick one for you — my calendar synced incorrectly and I ended up double-booked for two client sessions at the same time this afternoon. This is fairly time-sensitive, so any help is appreciated."
Credentialing & Compliance,"Hi, could someone take a look at this? I need to submit my updated license renewal documentation but I'm not sure which portal section that goes in. Happy to hop on a call if that's easier."
Compensation & Payroll,"Hi, sorry to bug you, but I need guidance on this. I submitted a reimbursement request for materials I bought for a group workshop three weeks ago and it still hasn't been processed. Let me know if you need anything else from me."
General / Other,"Hey, I ran into an issue and wanted to raise it. just checking in with a general question about company-wide policy on client gift acceptance. Happy to hop on a call if that's easier."
HR / Interpersonal,"Hi, sorry to bug you, but I need guidance on this. communication has broken down between me and my team lead and I'd like a mediated conversation."
Scheduling & Caseload,"Hello, I need some help with a situation. I need coverage for [CLIENT ID]'s sessions next week since I'll be out on planned leave starting Monday. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hey, wanted to flag something. the system auto-assigned me a new client outside my specialty area — can this be reassigned to someone better suited?"
Compensation & Payroll,"Hi team, hoping someone can help. I noticed my last payment is missing three sessions from the week of [TICKET ID] — the count on my dashboard doesn't match what I actually ran."
Scheduling & Caseload,"Hey, wanted to flag something. my [PROGRAM] circle call got scheduled during a national holiday and half the group can't make it. Can we get it moved? Please let me know next steps."
HR / Interpersonal,"Hi, sorry to bug you, but I need guidance on this. I want to raise a concern about a colleague's conduct during our last team meeting — it felt unprofessional. This is fairly time-sensitive, so any help is appreciated."
Compensation & Payroll,"Hi, sorry to bug you, but I need guidance on this. I submitted a reimbursement request for materials I bought for a group workshop three weeks ago and it still hasn't been processed. Appreciate any help you can give here."
Scheduling & Caseload,"Hey, wanted to flag something. I'd like to formally request a reduction in weekly session load — I'm at capacity and it's starting to affect quality of care. Appreciate any help you can give here."
Scheduling & Caseload,"Hi, quick one for you — I'm currently carrying more clients than my contract specifies and I need help redistributing a few before I hit burnout."
Platform / Technical,"Hey, wanted to flag something. I can't upload my updated intake form template — the file keeps failing to attach in the resources section."
Scheduling & Caseload,"Hey, I ran into an issue and wanted to raise it. a client tried to reschedule through the portal but it wouldn't let them pick a new time — can someone look into why?"
Platform / Technical,"Hi team, hoping someone can help. I'm getting a persistent error message when I try to close out a completed session in the system."
HR / Interpersonal,"Hey, I ran into an issue and wanted to raise it. there's been some friction in my team's group chat that I think needs a manager to step in on. Happy to hop on a call if that's easier."
Scheduling & Caseload,"Hi team, hoping someone can help. I need coverage for [CLIENT ID]'s sessions next week since I'll be out on planned leave starting Monday."
Compensation & Payroll,"Hey, I ran into an issue and wanted to raise it. I haven't received any payment confirmation for [PROGRAM] this month and I'm not sure if it's a processing delay or something else. Thanks in advance for looking into this."
Compensation & Payroll,"Hi team, hoping someone can help. I noticed my last payment is missing three sessions from the week of [TICKET ID] — the count on my dashboard doesn't match what I actually ran. Please let me know next steps."
Client Safety / Escalation,"Hello, I need some help with a situation. during today's intake, a new client described a level of risk that's above what I'm credentialed to handle solo. I need this escalated to a supervising clinician today. Let me know if you need anything else from me."
Scheduling & Caseload,"Hi, could someone take a look at this? my calendar synced incorrectly and I ended up double-booked for two client sessions at the same time this afternoon. Let me know if you need anything else from me."
Compensation & Payroll,"Hey, wanted to flag something. I noticed my last payment is missing three sessions from the week of [TICKET ID] — the count on my dashboard doesn't match what I actually ran."
Compensation & Payroll,"Hi team, hoping someone can help. the platform shows I completed 24 sessions this pay period but I was only paid for 19. Can someone reconcile this? Appreciate any help you can give here."
Training & Resources,"Hi, sorry to bug you, but I need guidance on this. I'm unclear on how to handle group facilitation versus individual coaching sessions — is there a guide for this?"
Platform / Technical,"Hello, I need some help with a situation. the client-facing app is displaying my old profile photo and outdated availability even though I updated both weeks ago. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hi there, reaching out about the following. a client tried to reschedule through the portal but it wouldn't let them pick a new time — can someone look into why? Thanks in advance for looking into this."
Credentialing & Compliance,"Hello, I need some help with a situation. I'm not seeing my updated certification reflected in my practitioner profile even though I submitted it last month. Happy to hop on a call if that's easier."
Training & Resources,"Hi team, hoping someone can help. I'd like more guidance on best practices for handling conflict between two circle members during a group call. Thanks in advance for looking into this."
Training & Resources,"Hi, sorry to bug you, but I need guidance on this. the escalation procedure doc referenced in training is out of date and doesn't match what's actually in the portal anymore. Please let me know next steps."
Platform / Technical,"Hey, wanted to flag something. the client-facing app is displaying my old profile photo and outdated availability even though I updated both weeks ago. Let me know if you need anything else from me."
Platform / Technical,"Hi there, reaching out about the following. the platform logged me out mid-session and I had to scramble to get back in while my client waited. This is fairly time-sensitive, so any help is appreciated."
Scheduling & Caseload,"Hey, I ran into an issue and wanted to raise it. I need coverage for [CLIENT ID]'s sessions next week since I'll be out on planned leave starting Monday. Let me know if you need anything else from me."
Compensation & Payroll,"Hey, I ran into an issue and wanted to raise it. my 1099 for last year has the wrong total on it — it doesn't match the sessions I logged. Who do I talk to about a correction? Thanks in advance for looking into this."
Compensation & Payroll,"Hi team, hoping someone can help. I switched from part-time to full-time status last month, but my pay still looks like it's calculated at the old rate."
Training & Resources,"Hello, I need some help with a situation. the resource library doesn't have a template for the mid-program check-in I'm supposed to run with clients. Please let me know next steps."
HR / Interpersonal,"Hey, I ran into an issue and wanted to raise it. I want to understand the process for filing a formal concern about how a teammate handled a shared client situation. Thanks in advance for looking into this."
HR / Interpersonal,"Hi, quick one for you — I feel like scheduling preferences have been handled unevenly across the team and wanted to flag it. Appreciate any help you can give here."
Platform / Technical,"Hi team, hoping someone can help. screen sharing isn't working during my [PROGRAM] circle calls — none of the members can see what I'm presenting. Please let me know next steps."
Compensation & Payroll,"Hey, wanted to flag something. I think my per-session rate updated incorrectly after my last review — it's showing the old rate on this pay period's statement. This is fairly time-sensitive, so any help is appreciated."
HR / Interpersonal,"Hello, I need some help with a situation. I'd like to report a comment made by a colleague that made me uncomfortable during a shared client handoff call. Let me know if you need anything else from me."
Client Safety / Escalation,"Hey, I ran into an issue and wanted to raise it. [CLIENT ID] asked to connect with me outside of the platform and made a comment that felt like a boundary-crossing overture. I did not agree, but I want this on record and want guidance on how to respond. Happy to hop on a call if that's easier."
Training & Resources,"Hey, I ran into an issue and wanted to raise it. the onboarding materials I was given are missing the section on circle-facilitation protocols — can I get the updated version?"
Credentialing & Compliance,"Hello, I need some help with a situation. my malpractice insurance documentation on file looks outdated — can someone confirm if it needs to be refreshed?"
Compensation & Payroll,"Hi, sorry to bug you, but I need guidance on this. my direct deposit didn't go through this cycle and I haven't gotten any notice about why. Can someone check what happened? Appreciate any help you can give here."
Compensation & Payroll,"Hello, I need some help with a situation. I noticed a payroll deduction on my statement I don't recognize — can someone explain what this is for? Thanks in advance for looking into this."
